Absolute_Magnitude,Est_Dia_In_Km_Min,Est_Dia_In_Km_Max,Close_Approach_Date,Relative_Velocity_Km_Per_Hr,Miss_Dist_Kilometers,Minimum_Orbit_Intersection,Jupiter_Tisserand_Invariant,Epoch_Osculation,Eccentricity,Semi_Major_Axis,Inclination,Asc_Node_Longitude,Orbital_Period,Perihelion_Distance,Perihelion_Arg,Aphelion_Dist,Perihelion_Time,Mean_Anomaly,Mean_Motion,Hazardous
17.5,0.8405334021,1.8794898244,1909-06-29,45941.6149138253,14427999.857676076,0.261945,3.149,2461000.5,0.543431568758977,2.640618647927914,9.817656100425918,326.6812162341018,1567.317402527873,1.205623113590239,283.0586332820381,4.075614182265589,2460639.166711037,82.99530383368466,0.2296918284830937,0
16.15,1.5651464359,3.4997738255,1901-04-26,83552.6998102597,7348389.223100334,0.00145309,5.323,2461000.5,0.2920665007602689,1.109918250323733,44.0577180415132,38.31024463831857,427.1052557448294,0.7857483108217199,91.00597675581368,1.434088189825745,2461175.748037056,212.2863100103657,0.842883563612898,1
19.47,0.3392774354,0.7586474087,1900-06-19,52200.7949465662,24453163.51560525,0.0547483,4.192,2461000.5,0.4532790861241754,1.62713677193033,4.603662048340894,202.1884844413665,758.1139998514437,0.8895897029507092,2.643305944774372,2.364683840909951,2460670.3760446254,156.7635262746722,0.4748626196990741,0
20.91,0.1748054532,0.3908768761,1929-02-02,37321.5760903166,15167179.553669432,0.0233924,6.101,2461000.5,0.2789501656423017,0.9878688938984364,4.668273339728371,342.8942828486865,358.6306412003048,0.7123027023125902,56.22053989946876,1.263435085484283,2460879.720674036,121.2404974704201,1.003818298389429,1
19.27,0.3720103103,0.8318403423,1930-09-10,943.3321928485,67158914.27367876,0.290585,3.623,2461000.5,0.3926699650103516,2.11962683709675,5.462012466211267,72.08600938780889,1127.165120337046,1.287313041138967,248.8211455104755,2.951940633054533,2461129.9604988885,318.6522162911255,0.319385326519288,0
17.28,0.930154254,2.0798881414,1906-08-05,69658.872829686,28672711.59719965,0.0210419,3.415,2461000.5,0.5656272431614809,2.15090395942239,20.0559597162941,294.7982213897522,1152.205530313468,0.9342940825491898,326.8332636423686,3.367513836295591,2461219.180811701,291.6744364255729,0.312444256279571,1
20.43,0.2180494405,0.4875733714,1906-06-13,19734.4797930413,70269535.29220593,0.219145,4.503,2461000.5,0.2054390258548506,1.505167813776372,6.482548755866892,272.5630845247535,674.4904596884828,1.195947604366079,74.31839733260324,1.814388023186665,2460671.118654381,175.8027600232951,0.5337362372275332,0
20.99,0.1684825693,0.3767384779,1940-07-05,66277.6768282547,67498119.26090029,0.176328,4.282,2461000.5,0.3611115971180572,1.569864459945448,19.16742853995204,138.8859982270378,718.4419174475322,1.002968197555671,73.0373811414412,2.136760722335226,2460663.9936849675,168.6180475688564,0.5010843483061256,0
16.91,1.1029478453,2.4662663578,1988-08-29,31491.8609394061,9389942.513756216,0.204013,3.572,2461000.5,0.4495441556594611,2.13695903634442,6.811729998309061,23.20964916759501,1141.018596466338,1.176301590672112,263.3611083639562,3.097616482016727,2461024.0784655707,352.5608157205451,0.3155075658844624,0
19.03,0.4154846434,0.9290519063,1911-06-26,38067.7359586644,10500878.586458849,0.00265432,4.432,2461000.5,0.546300756513007,1.469073820052601,1.666940888611022,328.720352083767,650.3750254869759,0.666517680784412,260.200908916299,2.27162995932079,2460896.71895687,57.44558764207418,0.5535267897632536,1
19.05,0.4116754573,0.9205343072,1925-05-15,77250.2690976872,17861913.586786445,0.0209151,4.047,2461000.5,0.6882474753851038,1.57697516387261,20.62513435350168,52.43875441920584,723.3287166769927,0.4916259885922758,281.4112014528884,2.662324339152944,2461260.4558026693,230.6202494063074,0.4976990290857765,1
